Company,Type,Priority,Contact Person,Email/Contact,Status,Notes
HelloBetter,DiGA (Mental),1,Founders,founders@hellobetter.de,To Contact,"Focus on DiGA compliance"
MindDoc,AI Therapy,1,Hello Team,hello@minddoc.de,To Contact,"Pitch real-time validation"
Caspar Health,DiGA,1,Partnerships,partnerships@caspar-health.com,To Contact,""
Selfapy,Mental AI,1,Info,info@selfapy.com,To Contact,""
Ada Health,Symptom AI,1,Partnerships,partnerships@ada.com,To Contact,"Mention TrustScore 95/100 demo"
Kaia Health,General Health,2,,kaiahealth.com/contact,To Contact,""
Clue,FemTech,2,,hello@clue.com,To Contact,""
Doctolib,Booking/Telehealth,2,,doctolib.de,To Contact,""
Kry,Telehealth,2,,kry.de,To Contact,""
mySugr,Diabetes,2,,mysugr.com,To Contact,""
Oviva,Diet/Health,2,,oviva.com,To Contact,""
TeleClinic,Telehealth,2,,teleclinic.com,To Contact,""
VIA HealthTech,Accelerator,2,,,To Contact,""
BIH Startups,Accelerator,2,,,To Contact,""
